filename,Numeral,Intonation,Speaker
00000.wav,3,excited,59
00001.wav,1000000,question,31
00003.wav,15,excited,107
00004.wav,13,excited,114
00005.wav,19,neutral,132
00007.wav,1000000,excited,63
00008.wav,2,excited,38
00009.wav,80,excited,56
00011.wav,8,excited,54
00013.wav,1000000000,bored,146
00015.wav,3,question,89
00016.wav,8,excited,100
00018.wav,19,question,14
00020.wav,20,question,5
00022.wav,40,bored,68
00023.wav,60,bored,148
00025.wav,19,bored,143
00026.wav,30,bored,96
00027.wav,12,excited,51
00031.wav,60,bored,37
00032.wav,17,question,67
00033.wav,7,question,143
00035.wav,1000000000,bored,30
00036.wav,1000000000,neutral,12
00037.wav,10,question,47
00038.wav,70,excited,63
00039.wav,2,question,112
00042.wav,0,question,97
00044.wav,17,neutral,134
00048.wav,8,excited,67
00049.wav,18,bored,60
00050.wav,18,excited,95
00051.wav,16,neutral,33
00055.wav,60,bored,147
00059.wav,80,bored,18
00061.wav,30,excited,144
00063.wav,13,neutral,57
00064.wav,5,excited,57
00065.wav,4,excited,37
00067.wav,100,excited,46
00070.wav,90,bored,32
00072.wav,30,bored,0
00073.wav,90,bored,116
00075.wav,7,excited,61
00076.wav,40,neutral,14
00077.wav,1,neutral,148
00078.wav,90,excited,93
00081.wav,9,question,76
00082.wav,3,excited,13
00083.wav,13,neutral,16
00084.wav,1000,question,41
00085.wav,3,excited,73
00087.wav,19,question,129
00089.wav,13,neutral,105
00091.wav,16,excited,89
00093.wav,10,bored,49
00094.wav,1000000,question,135
00095.wav,19,question,18
00096.wav,70,excited,20
00099.wav,20,neutral,18
00100.wav,18,question,6
00102.wav,30,bored,45
00103.wav,80,neutral,25
00104.wav,1000,neutral,0
00105.wav,20,bored,45
00106.wav,30,neutral,148
00108.wav,15,bored,153
00110.wav,13,excited,38
00111.wav,40,question,110
00112.wav,8,question,2
00113.wav,90,question,145
00114.wav,8,excited,24
00115.wav,30,question,45
00117.wav,15,bored,82
00119.wav,14,bored,90
00120.wav,40,bored,131
00122.wav,15,neutral,63
00124.wav,1000000,excited,110
00125.wav,20,excited,29
00127.wav,1000000000,excited,69
00129.wav,16,excited,17
00130.wav,6,bored,93
00133.wav,3,question,35
00135.wav,19,excited,53
00136.wav,1000000,excited,22
00137.wav,20,question,13
00139.wav,16,neutral,132
00140.wav,3,neutral,22
00141.wav,12,question,153
00143.wav,9,bored,81
00144.wav,60,question,80
00146.wav,2,neutral,104
00148.wav,19,neutral,132
00149.wav,17,bored,58
00152.wav,9,neutral,37
